Benchmark;Dimensions;OffspringPopSize;GenerationsNumber;AllowQuadraticTerms;UseRedundantConstraintsRemoving;UseSeeding;UseDataNormalization;ConstraintsNumber;NonZeroTermsNumber;JaccardTrainingSet;JaccardTestSet;Precision;Recall;F1Score;MeanAngle;LastFitnessScore;NumberOfGenerationBestSolutionTakenFrom;TruePositives;FalsePositives;TrueNegatives;FalseNegatives;Accuracy;FallOut;FalseDiscoveryRate;FalseOmissionRate;MissRate;NegativePredictiveValue;Specificity
Simplexn;2;100;1000;False;True;False;False;3;---;0,644206373719945;0,530435812232374;0,569415425866704;0,898264502255136;0,685128908854468;0,262014291881372;0,311970854038981;85;8720;7519;82774;988;0,914937;0,0832720455905423;0,430584574133295;0,0115954087485412;0,101735497744864;0,988404591251459;0,916727954409458
Simplexn;2;100;1000;False;True;False;True;3;---;0,577393494001782;0,452174653726603;0,510889238635686;0,80867963741247;0,620841134142468;0,659818044323613;0,453157160281391;188;7849;8132;82160;1858;0,900094;0,0900704087694143;0,489110761364314;0,0219254082288117;0,19132036258753;0,978074591771188;0,909929591230586
Simplexn;2;100;1000;False;True;True;False;3;---;0,624976301997704;0,0137514053686803;0,0158122143911899;0,131805722290464;NaN;0,800438362838284;0,294430083791871;68;316;15270;81507;2907;0,818231333333333;0,157795292450351;0,98418778560881;0,0340818416879437;0,868194277709536;0,965918158312056;0,842204707549649
Simplexn;2;100;1000;False;True;True;True;3;---;0,57513702334274;0,0796652963619004;0,0882306432178201;0,569831544583478;NaN;0,640218248591545;0,453319592828145;176;1396;14410;82367;1827;0,837631;0,148656253139308;0,91176935678218;0,0214539344740366;0,430168455416522;0,978546065525963;0,851343746860692
Simplexn;2;200;500;False;True;False;False;3;---;0,89587849819059;0,967122070358592;0,974118380686736;0,992682927361649;0,983212526211517;0,0301137736085701;0,89506685646655;233;9637;260;90033;71;0,996691666666667;0,00287729335412579;0,0258816193132639;0,000788076766350114;0,0073170726383513;0,99921192323365;0,997122706645874
Simplexn;2;200;500;False;True;False;True;3;---;0,896696817881948;0,965777804723505;0,973256174159007;0,992078081793144;0,98252219616342;0,0425666815796533;0,894629306439957;286;9631;267;90026;77;0,996564;0,00295415353654537;0,0267438258409932;0,000852912115560867;0,00792191820685597;0,999147087884439;0,997045846463455
Simplexn;2;200;500;False;True;True;False;3;---;0,896121185628943;1,71768181662029E-06;3,48165169556438E-06;3,38994542187871E-06;NaN;0,772872355784668;0,895038664564278;288;0;9872;86904;3224;0,869043333333333;0,10211372108438;0,999996518348304;0,0357547491225675;0,999996610054578;0,964245250877432;0,89788627891562
Simplexn;2;200;500;False;True;True;True;3;---;0,880298090880956;0,0188885987253539;0,0223821653051404;0,0433011250493492;NaN;0,696346162354172;0,878405514636732;326;358;10006;86770;2865;0,871285333333333;0,103527102711006;0,97761783469486;0,0319815294159249;0,956698874950651;0,968018470584075;0,896472897288994
Simplexn;2;500;200;False;True;False;False;3;---;0,898169651743449;0,977364289236761;0,98416172677733;0,992972225047764;0,988496304969528;0,0148022616700063;0,897315662286185;99;9639;157;90135;68;0,997748666666667;0,00173691348473956;0,0158382732226702;0,000756940206934712;0,00702777495223565;0,999243059793065;0,99826308651526
Simplexn;2;500;200;False;True;False;True;3;---;0,894254912901081;0,96145628533777;0,971683915170931;0,989150675261537;0,980204751101001;0,04506674537924;0,892202396815552;122;9602;283;90009;105;0,996111333333334;0,00313921622008427;0,0283160848290691;0,0011678799831535;0,010849324738463;0,998832120016847;0,996860783779915
Simplexn;2;500;200;False;True;True;False;3;---;0,897908601415325;0,0330293186885676;0,0332887232199613;0,0331433010062886;NaN;0,748293057405166;0,897024530828227;94;320;9472;87153;3054;0,874738;0,0979129992589223;0,966711276780039;0,0338421946996952;0,966856698993711;0,966157805300305;0,902087000741078
Simplexn;2;500;200;False;True;True;True;3;---;0,890422212583536;0,0359107933132321;0,0362821972498272;0,0623899758838761;NaN;0,706872732117498;0,889128469905924;123;374;9698;86928;3001;0,873012333333333;0,10024764927332;0,963717802750173;0,0333068508370107;0,937610024116124;0,966693149162989;0,89975235072668
